gene,ensembl,name,biotype,axis_membership,off_axis,novelty_tier,condition_class,best_condition,sel_confidence,evidence_tier,ad_decision_tier,best_modality,tractability,tract_sm,tract_ab,tract_pr,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,ad_genetic,ad_overall,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,AllCells_frac_expr_Lesional,ad_upreg_call_AllCells,c_tractability,c_patient_upreg,c_ad_genetic,c_sel_conf,c_drug_precedent,c_offaxis,c_safety_penalty,ad_target_score
RAB39B,ENSG00000155961,"RAB39B, member RAS oncogene family",protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.595,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.8383,0.0253,up,0.2164,0.0066,not_detected,0.7,0.279,0.0,0.595,0.0,1.0,0.0,0.439
NR4A3,ENSG00000119508,nuclear receptor subfamily 4 group A member 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.63,C: tractable+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,0.65,0.65,0.0,0.5,0,0.0,False,,0.349453270421326,0.2131201234917687,0.9897,0.0605,up,0.2397,0.0726,flat,0.65,0.33,0.349453270421326,0.63,0.0,1.0,0.3,0.4389
RBM5,ENSG00000003756,RNA binding motif protein 5,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.737,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4946,0.0916,flat,0.565,0.2167,up,0.7,0.165,0.0,0.737,0.0,1.0,0.0,0.4389
ARHGAP9,ENSG00000123329,Rho GTPase activating protein 9,protein_coding,off_axis,True,N,early-kinetic,Rest,0.73,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.4957,0.0855,flat,1.5715,0.0224,up,0.7,0.165,0.0,0.73,0.0,1.0,0.0,0.4378
TTLL12,ENSG00000100304,tubulin tyrosine ligase like 12,protein_coding,off_axis,True,N,rest-restricted,Rest,0.726,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.7526,0.0105,not_detected_Tcell,1.2203,0.1058,up,0.6,0.285,0.0,0.726,0.0,1.0,0.0,0.4372
DHTKD1,ENSG00000181192,dehydrogenase E1 and transketolase domain containing 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.743,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.6298,0.0084,not_detected_Tcell,0.6366,0.0406,up,0.7,0.149,0.0,0.743,0.0,1.0,0.0,0.4367
NAGK,ENSG00000124357,N-acetylglucosamine kinase,protein_coding,off_axis,True,N,rest-restricted,Rest,0.639,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.6869,0.0859,up,0.952,0.2743,up,0.7,0.229,0.0,0.639,0.0,1.0,0.0,0.436
RAB11FIP5,ENSG00000135631,RAB11 family interacting protein 5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.664,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.965,0.0419,up,0.6585,0.063,up,0.6,0.322,0.0,0.664,0.0,1.0,0.0,0.4346
ADAM9,ENSG00000168615,ADAM metallopeptidase domain 9,protein_coding,off_axis,True,P,early-kinetic,Stim8hr,0.561,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.45,0.65,0.5,0,0.0,False,,0.0,0.0014783194187388,0.5753,0.0126,not_detected_Tcell,1.4764,0.1523,up,0.65,0.344,0.0,0.561,0.0,1.0,0.0,0.4346
SCAP,ENSG00000114650,SREBF chaperone,protein_coding,off_axis,True,N,activation-gated,Stim48hr,0.714,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.4818,0.0246,flat,0.9534,0.0976,up,0.7,0.161,0.0,0.714,0.0,1.0,0.0,0.4344
MRPL52,ENSG00000172590,mitochondrial ribosomal protein L52,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.568,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.8304,0.2291,up,0.9834,0.424,up,0.7,0.277,0.0,0.568,0.0,1.0,0.0,0.4343
CASP1,ENSG00000137752,caspase 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.425,D: tractable only,AD-5: other off-axis,small_molecule,0.9,0.9,0.65,0.5,3,2.0,True,"BELNACASAN, EMRICASAN, NIVOCASAN",0.0,0.0180375155941523,,,,,,,0.9,0.0,0.0,0.425,0.5,1.0,0.167,0.433
BTN3A2,ENSG00000186470,butyrophilin subfamily 3 member A2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.741,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.5751,0.1009,up,0.5922,0.0974,up,0.65,0.192,0.0,0.741,0.0,1.0,0.0,0.433
IL5RA,ENSG00000091181,interleukin 5 receptor subunit alpha,protein_coding,IL4R_STAT6_interactor,False,N,rest-restricted,Rest,0.451,D: tractable only,OnAxis (IL4R/STAT6 or interactor),antibody,1.0,0.0,1.0,0.0,1,4.0,True,BENRALIZUMAB,0.0,0.0860763367009946,,,,,,,1.0,0.0,0.0,0.451,1.0,0.0,0.0,0.4322
SLC4A7,ENSG00000033867,solute carrier family 4 member 7,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.584,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.9369,0.1281,up,1.5667,0.1082,up,0.65,0.312,0.0,0.584,0.0,1.0,0.0,0.4318
ARL6IP5,ENSG00000144746,ARF like GTPase 6 interacting protein 5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.708,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.812,0.521,up,0.4968,0.4573,flat,0.6,0.271,0.0,0.708,0.0,1.0,0.0,0.4315
C2CD5,ENSG00000111731,C2 calcium dependent domain containing 5,protein_coding,off_axis,True,P,activation-gated,Stim48hr,0.73,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.5789,0.0233,up,0.7317,0.0425,up,0.65,0.193,0.0,0.73,0.0,1.0,0.0,0.4314
AMFR,ENSG00000159461,autocrine motility factor receptor,protein_coding,off_axis,True,N,early-kinetic,Rest,0.707,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.8063,0.0336,up,0.7233,0.1197,up,0.6,0.269,0.0,0.707,0.0,1.0,0.0,0.4309
IDE,ENSG00000119912,insulin degrading enzyme,protein_coding,off_axis,True,N,rest-restricted,Rest,0.556,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.5,0,0.0,False,,0.0,0.0036948135901051,0.8069,0.0234,up,1.2732,0.088,up,0.7,0.269,0.0,0.556,0.0,1.0,0.0,0.4308
ARHGAP17,ENSG00000140750,Rho GTPase activating protein 17,protein_coding,off_axis,True,N,activation-gated,Stim8hr,0.726,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.7418,0.0298,up,0.8863,0.0936,up,0.6,0.247,0.0,0.726,0.0,1.0,0.0,0.4296
SUCLG1,ENSG00000163541,succinate-CoA ligase GDP/ADP-forming subunit alpha,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.661,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.5,0.0,0,0.0,False,,0.0,0.0,0.5163,0.1335,up,0.5705,0.3039,up,0.7,0.172,0.0,0.661,0.0,1.0,0.0,0.4282
MAP3K14,ENSG00000006062,mitogen-activated protein kinase kinase kinase 14,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.568,C: tractable+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.3445449455774437,0.2110606616972196,0.7822,0.021,up,1.7391,0.071,up,0.7,0.261,0.3445449455774437,0.568,0.0,1.0,0.3,0.4279
UNC119B,ENSG00000175970,unc-119 lipid binding chaperone B,protein_coding,off_axis,True,N,rest-restricted,Rest,0.687,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.8562,0.0125,not_detected_Tcell,0.6323,0.0449,up,0.7,0.148,0.0,0.687,0.0,1.0,0.0,0.4275
PPP6R3,ENSG00000110075,protein phosphatase 6 regulatory subunit 3,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.738,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.6532,0.0719,up,0.6348,0.1473,up,0.6,0.218,0.0,0.738,0.0,1.0,0.0,0.4257
BABAM1,ENSG00000105393,BRISC and BRCA1 A complex member 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.652,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4973,0.1006,flat,0.4713,0.1865,flat,0.7,0.166,0.0,0.652,0.0,1.0,0.0,0.4255
EPS15L1,ENSG00000127527,epidermal growth factor receptor pathway substrate 15 like 1,protein_coding,off_axis,True,P,early-kinetic,Stim8hr,0.654,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.8534,0.0256,up,0.7473,0.0618,up,0.6,0.284,0.0,0.654,0.0,1.0,0.0,0.4254
STARD4,ENSG00000164211,StAR related lipid transfer domain containing 4,protein_coding,off_axis,True,N,rest-restricted,Rest,0.652,E: low-tractability,AD-5: other off-axis,antibody,0.5,0.0,0.5,0.0,0,0.0,False,,0.0,0.0022174791281082,1.2108,0.0235,up,1.8605,0.0296,up,0.5,0.404,0.0,0.652,0.0,1.0,0.0,0.4251
ABHD5,ENSG00000011198,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.608,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.65,0.65,0.0,0.5,0,0.0,False,,0.0,0.0041543450707387,0.7721,0.0596,up,0.4054,0.1763,flat,0.65,0.257,0.0,0.608,0.0,1.0,0.0,0.4247
METTL17,ENSG00000165792,methyltransferase like 17,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.707,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.3492,0.0556,flat,0.3237,0.0964,flat,0.7,0.116,0.0,0.707,0.0,1.0,0.0,0.4243
SSTR3,ENSG00000278195,somatostatin receptor 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.476,D: tractable only,AD-5: other off-axis,small_molecule,0.65,0.65,0.6,0.5,9,4.0,False,"LUTETIUM OXODOTREOTIDE, LUTETIUM OXODOTREOTIDE LU-177, OCTREOTIDE, OCTREOTIDE ACETATE, PASIREOTIDE",0.0,0.0,,,,,,,0.65,0.0,0.0,0.476,0.6,1.0,0.0,0.4242
FUS,ENSG00000089280,FUS RNA binding protein,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.663,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4443,0.5016,flat,0.096,0.6034,flat,0.7,0.148,0.0,0.663,0.0,1.0,0.0,0.4237
LIMA1,ENSG00000050405,LIM domain and actin binding 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.616,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.9019,0.1538,up,0.5311,0.4176,up,0.6,0.301,0.0,0.616,0.0,1.0,0.0,0.4228
HIPK2,ENSG00000064393,homeodomain interacting protein kinase 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.601,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.5714,0.051,up,1.0243,0.0749,up,0.7,0.19,0.0,0.601,0.0,1.0,0.0,0.4222
INPP5A,ENSG00000068383,inositol polyphosphate-5-phosphatase A,protein_coding,off_axis,True,N,rest-restricted,Rest,0.683,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.5,0,0.0,False,,0.0,0.0,0.4932,0.0087,not_detected_Tcell,0.7894,0.0531,up,0.65,0.184,0.0,0.683,0.0,1.0,0.0,0.4221
RCOR1,ENSG00000089902,REST corepressor 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.71,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,1.1574,0.0604,up,0.9698,0.1625,up,0.7,0.386,0.0,0.71,0.0,1.0,0.3,0.4213
PTPA,ENSG00000119383,protein phosphatase 2 phosphatase activator,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.572,C: tractable+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.3718993685430833,0.2260890797496549,0.5902,0.0414,up,1.1816,0.1733,up,0.7,0.197,0.3718993685430833,0.572,0.0,1.0,0.3,0.421
PKN1,ENSG00000123143,protein kinase N1,protein_coding,off_axis,True,N,activation-gated,Stim48hr,0.601,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.5,0.5,0,0.0,False,,0.0,0.0022174791281082,0.5361,0.0918,up,1.0405,0.0997,up,0.7,0.179,0.0,0.601,0.0,1.0,0.0,0.42
MBTPS1,ENSG00000140943,"membrane bound transcription factor peptidase, site 1",protein_coding,off_axis,True,N,rest-restricted,Rest,0.712,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.65,0.65,0.6,0.5,0,0.0,False,,0.0,0.0061264020578234,0.4439,0.0632,flat,0.72,0.1704,up,0.65,0.148,0.0,0.712,0.0,1.0,0.0,0.4195
COL6A2,ENSG00000142173,collagen type VI alpha 2 chain,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.444,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,2,4.0,False,"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM, OCRIPLASMIN",0.0,0.0022174791281082,,,,,,,0.65,0.0,0.0,0.444,0.6,1.0,0.0,0.419
ATAD2B,ENSG00000119778,ATPase family AAA domain containing 2B,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.593,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.5397,0.0338,up,0.7715,0.0836,up,0.7,0.18,0.0,0.593,0.0,1.0,0.0,0.4189
COX7C,ENSG00000127184,cytochrome c oxidase subunit 7C,protein_coding,off_axis,True,N,rest-restricted,Rest,0.739,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.1867,0.7465,flat,0.1594,0.8114,flat,0.7,0.062,0.0,0.739,0.0,1.0,0.0,0.4186
TRDMT1,ENSG00000107614,tRNA aspartic acid methyltransferase 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.556,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.6218,0.02,not_detected_Tcell,0.7235,0.0272,up,0.7,0.207,0.0,0.556,0.0,1.0,0.0,0.4184
ELP3,ENSG00000134014,elongator acetyltransferase complex subunit 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.628,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.7203,0.0192,not_detected_Tcell,0.6388,0.04,up,0.7,0.149,0.0,0.628,0.0,1.0,0.0,0.4183
PRDX5,ENSG00000126432,peroxiredoxin 5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.579,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.5546,0.2737,up,0.4387,0.538,flat,0.7,0.185,0.0,0.579,0.0,1.0,0.0,0.4176
NOA1,ENSG00000084092,nitric oxide associated 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.578,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.5514,0.0466,up,0.1895,0.1016,flat,0.7,0.184,0.0,0.578,0.0,1.0,0.0,0.4173
ATP6V0A2,ENSG00000185344,ATPase H+ transporting V0 subunit a2,protein_coding,off_axis,True,N,late-kinetic,Rest,0.571,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.9245,0.0313,up,0.7832,0.0666,up,0.6,0.308,0.0,0.571,0.0,1.0,0.0,0.417
PANK2,ENSG00000125779,pantothenate kinase 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.619,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.4401,0.0813,flat,0.6574,0.1206,up,0.7,0.147,0.0,0.619,0.0,1.0,0.0,0.4164
ALG13,ENSG00000101901,ALG13 UDP-N-acetylglucosaminyltransferase subunit,protein_coding,off_axis,True,N,rest-restricted,Rest,0.684,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.4288,0.0646,flat,0.6427,0.1416,up,0.65,0.143,0.0,0.684,0.0,1.0,0.0,0.414
LBR,ENSG00000143815,lamin B receptor,protein_coding,off_axis,True,N,rest-restricted,Rest,0.57,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.869,0.0906,up,0.5096,0.1175,up,0.6,0.29,0.0,0.57,0.0,1.0,0.0,0.4132
GNG5,ENSG00000174021,G protein subunit gamma 5,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.627,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.5521,0.3452,up,0.5621,0.596,up,0.65,0.184,0.0,0.627,0.0,1.0,0.0,0.4131
SMARCD1,ENSG00000066117,SWI/SNF related BAF chromatin remodeling complex subunit D1,protein_coding,off_axis,True,N,early-kinetic,Rest,0.657,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.3005,0.0461,flat,0.4166,0.0983,flat,0.7,0.1,0.0,0.657,0.0,1.0,0.0,0.4131
MEF2A,ENSG00000068305,myocyte enhancer factor 2A,protein_coding,off_axis,True,N,rest-restricted,Rest,0.59,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0044349582562164,0.4602,0.0567,flat,0.4276,0.2725,flat,0.7,0.153,0.0,0.59,0.0,1.0,0.0,0.413
HERC1,ENSG00000103657,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.551,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.45,0.0,0,0.0,False,,0.0,0.0,0.547,0.083,up,0.6846,0.1201,up,0.7,0.182,0.0,0.551,0.0,1.0,0.0,0.4126
PIGW,ENSG00000277161,phosphatidylinositol glycan anchor biosynthesis class W,protein_coding,off_axis,True,N,rest-restricted,Rest,0.572,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.6922,0.0085,not_detected_Tcell,1.2205,0.0418,up,0.6,0.285,0.0,0.572,0.0,1.0,0.0,0.4125
NUMA1,ENSG00000137497,nuclear mitotic apparatus protein 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.594,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.6165,0.0996,up,0.3481,0.2222,flat,0.65,0.206,0.0,0.594,0.0,1.0,0.0,0.4122
SYK,ENSG00000165025,spleen associated tyrosine kinase,protein_coding,JAK_interactor,False,N,rest-restricted,Rest,0.539,D: tractable only,OnAxis (IL4R/STAT6 or interactor),small_molecule,1.0,1.0,0.65,0.5,15,4.0,True,"CERDULATINIB, ENTOSPLETINIB, FOSTAMATINIB, FOSTAMATINIB DISODIUM, GUSACITINIB",0.0,0.1076402521571791,,,,,,,1.0,0.0,0.0,0.539,1.0,0.5,0.467,0.4117
ADAM8,ENSG00000151651,ADAM metallopeptidase domain 8,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.571,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.5,0,0.0,False,,0.0,0.0060134433689591,0.484,0.1096,flat,1.9521,0.0613,up,0.7,0.161,0.0,0.571,0.0,1.0,0.0,0.4116
KDM6A,ENSG00000147050,lysine demethylase 6A,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.642,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.3031,0.0395,flat,0.2255,0.0829,flat,0.7,0.101,0.0,0.642,0.0,1.0,0.0,0.4109
MRRF,ENSG00000148187,mitochondrial ribosome recycling factor,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.562,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4831,0.0305,flat,0.4879,0.1035,flat,0.7,0.161,0.0,0.562,0.0,1.0,0.0,0.4101
DLAT,ENSG00000150768,dihydrolipoamide S-acetyltransferase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.572,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.5021,0.016,not_detected_Tcell,0.6464,0.0723,up,0.7,0.151,0.0,0.572,0.0,1.0,0.0,0.4097
GDI2,ENSG00000057608,GDP dissociation inhibitor 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.575,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0317469095174158,0.7953,0.2196,up,0.4215,0.4818,flat,0.6,0.265,0.0,0.575,0.0,1.0,0.0,0.409
NUB1,ENSG00000013374,negative regulator of ubiquitin like proteins 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.565,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4413,0.0867,flat,0.9452,0.1876,up,0.7,0.147,0.0,0.565,0.0,1.0,0.0,0.4078
SNX17,ENSG00000115234,sorting nexin 17,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.601,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.003695798546847,0.5342,0.1197,up,0.5582,0.2441,up,0.65,0.178,0.0,0.601,0.0,1.0,0.0,0.4078
DMAC1,ENSG00000137038,distal membrane arm assembly component 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.666,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.5574,0.0866,up,0.3751,0.2018,flat,0.6,0.186,0.0,0.666,0.0,1.0,0.0,0.4078
SLC38A6,ENSG00000139974,solute carrier family 38 member 6,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.642,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3251,0.0155,not_detected_Tcell,0.8376,0.0396,up,0.6,0.195,0.0,0.642,0.0,1.0,0.0,0.4057
SWAP70,ENSG00000133789,switching B cell complex subunit SWAP70,protein_coding,off_axis,True,N,rest-restricted,Rest,0.577,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.7406,0.0206,up,0.4826,0.1424,flat,0.6,0.247,0.0,0.577,0.0,1.0,0.0,0.4057
NAGLU,ENSG00000108784,N-acetyl-alpha-glucosaminidase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.576,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.2375,0.0132,not_detected_Tcell,1.0592,0.0844,up,0.6,0.247,0.0,0.576,0.0,1.0,0.0,0.4056
ARPC1A,ENSG00000241685,actin related protein 2/3 complex subunit 1A,protein_coding,off_axis,True,N,rest-restricted,Rest,0.563,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.4121,0.0462,flat,0.56,0.2983,up,0.7,0.137,0.0,0.563,0.0,1.0,0.0,0.4055
KPNA2,ENSG00000182481,karyopherin subunit alpha 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.719,E: low-tractability,AD-5: other off-axis,degrader,0.5,0.0,0.0,0.5,0,0.0,False,,0.0,0.0125657150592798,0.7571,0.1815,up,0.7698,0.2409,up,0.5,0.252,0.0,0.719,0.0,1.0,0.0,0.4054
SFXN3,ENSG00000107819,sideroflexin 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.637,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.5822,0.0455,up,0.9113,0.1013,up,0.6,0.194,0.0,0.637,0.0,1.0,0.0,0.4047
MRPS23,ENSG00000181610,mitochondrial ribosomal protein S23,protein_coding,off_axis,True,N,rest-restricted,Rest,0.579,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.3599,0.0813,flat,0.8764,0.2018,up,0.7,0.12,0.0,0.579,0.0,1.0,0.0,0.4046
